0	115	115	15	55	55	15	1
0	115	115	15	177.014	138.645	1.66304	0
0	55	55	15	177.014	138.645	1.66304	0
0	115	115	15	139.136	54.9867	1.70414	0
0	55	55	15	139.136	54.9867	1.70414	1
0	115	115	15	112.795	118.476	1.67395	1
0	55	55	15	112.795	118.476	1.67395	0
0	115	115	15	54.6147	22.9356	1.68591	0
0	55	55	15	54.6147	22.9356	1.68591	1
0	115	115	15	63.1774	177.786	1.60132	0
0	55	55	15	63.1774	177.786	1.60132	0
0	115	115	15	58.1434	159.789	1.651	0
0	55	55	15	58.1434	159.789	1.651	1
0	115	115	15	164.266	172.228	1.62826	0
0	55	55	15	164.266	172.228	1.62826	0
